Ticker,Company,GICSSector,GICSSubIndustry
VNO,Vornado Realty Trust,Real Estate,Office REITs
VMC,Vulcan Materials,Materials,Construction Materials
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower Inc.,Real Estate,Health Care REITs
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services
WRK,WestRock,Materials,Paper Packaging
WY,Weyerhaeuser,Real Estate,Specialized REITs
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy Inc,Utilities,Multi-Utilities
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals"
XLNX,Xilinx,Information Technology,Semiconductors
XYL,Xylem Inc.,Industrials,Industrial Machinery
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
